umap1,umap2,state
-3.517867,5.279554,start
-3.1615875,9.32274,start
-6.849506,5.7748094,start
-2.007222,10.867522,start
-5.3577275,6.776211,start
-5.9811487,6.540485,start
-4.3567824,6.1386175,start
-4.065502,6.546774,start
-6.75353,9.366648,start
-7.894288,8.169345,start
-2.3643486,11.588914,start
-4.4476666,9.651651,start
-2.8762662,7.880065,start
-2.6267207,8.623211,start
-2.137934,8.409839,start
-2.2974014,10.936307,start
-4.606238,4.8658237,start
-3.8261716,6.3407187,start
-4.964603,7.0210214,start
-4.0686555,7.09401,start
-6.300529,9.36328,start
-3.522187,7.365844,start
-7.001168,9.352551,start
-4.5353293,9.4435425,start
-5.6070704,10.057992,start
-3.2704422,8.093618,start
-6.1348753,10.889635,start
-5.350342,7.7999167,start
-5.9124956,10.501644,start
-5.506005,8.336282,start
-1.5044353,11.101481,start
-5.739072,8.172493,start
-7.8299546,9.259561,start
-6.772228,10.361805,start
-8.02243,7.7555757,start
-7.248081,6.272515,start
-6.463907,7.8179626,start
-7.8910637,7.4656243,start
-2.8151934,8.006803,start
-4.8504705,8.4147215,start
-2.6527052,9.402941,start
-7.6021986,8.1777525,start
-3.0687246,4.3748884,start
-3.1803396,9.662124,start
-3.1034894,6.660276,start
-5.709742,8.708712,start
-2.792999,10.188899,start
-7.066652,9.799116,start
-7.6532173,9.988961,start
-5.7365537,7.371543,start
-0.28318843,10.337974,start
-5.5385194,6.4280543,start
-2.0817106,9.671801,start
-7.6018085,6.237398,start
-3.467864,6.0188,start
-6.197739,10.98678,start
-4.3158145,11.464907,start
-4.3623095,9.502677,start
-0.2469619,10.424796,start
-7.0294285,10.538976,start
-4.598468,10.775071,start
-6.126401,8.548524,start
-5.958005,11.44572,start
-1.7475443,8.891141,start
-5.362208,6.875893,start
-5.4143367,11.305614,start
-3.7624893,8.057309,start
-6.7124224,9.111528,start
-4.8814344,10.982128,start
-7.967109,9.294625,start
-6.8984165,7.5555964,start
-6.9755826,11.323142,start
-4.5448227,8.67537,start
-6.8102455,10.4036455,start
-1.2985265,8.734377,start
-5.636154,5.657823,start
-1.7877886,8.093273,start
-7.5438924,8.153203,start
-3.0371885,10.155809,start
-1.5633563,9.598465,start
-7.4380283,8.284182,start
-5.991976,7.7822156,start
-5.099215,8.635613,start
-7.776535,7.569965,start
-3.0167415,11.430732,start
-5.262043,8.3177,start
-7.4454985,7.8981085,start
-4.243343,9.404825,start
-3.5629077,8.132293,start
-6.6483655,10.943535,start
-6.5205026,6.85802,start
-4.533007,5.410539,start
-3.876402,11.676004,start
-7.8667464,9.034242,start
-6.5569816,9.409794,start
-5.012506,7.302411,start
-3.863579,6.3386383,start
-8.09091,9.291956,start
-4.478665,9.7717285,start
-2.6429133,5.9644184,start
-1.3509998,10.808587,start
-7.27591,9.83809,start
-4.9158607,8.654862,start
-5.185098,8.482111,start
-4.08665,9.205521,start
-1.5851384,6.5901184,start
